Status,EURING_Code,Current_Name,Date_Updated,Notes,Old_Name,IOC14_1
a,0,Unknown species,02.06.08,,Species unknown,NA
sp,10,Struthio camelus,02.06.08,,Struthio camelus,1
sp,20,Gavia stellata,02.06.08,,Gavia stellata,7283
o,21,Gavia stellata stellata,14.11.23,Obsolete code. Monotypic species in the current classification.,Gavia stellata stellata,NA
o,22,Gavia stellata squamata,14.11.23,Obsolete code. Subspecies no longer recognized.,Gavia stellata squamata,NA
sp,30,Gavia arctica,02.06.08,,Gavia arctica,7284
ssp,31,Gavia arctica arctica,20.07.09,,Gavia arctica arctica,7285
ssp,32,Gavia arctica viridigularis,20.07.09,,Gavia arctica viridigularis,7286
sp,33,Gavia pacifica,14.11.23,,Gavia arctica pacifica,7287
sp,40,Gavia immer,02.06.08,,Gavia immer,7289
sp,50,Gavia adamsii,02.06.08,,Gavia adamsii,7290
a,59,Gavia sp.,02.06.08,,Gavia sp.,NA
sp,60,Podilymbus podiceps,02.06.08,,Podilymbus podiceps,6215
sp,70,Tachybaptus ruficollis,02.06.08,,Tachybaptus ruficollis,6188
sp,80,Tachybaptus dominicus,02.06.08,,Tachybaptus dominicus,6209
sp,90,Podiceps cristatus,02.06.08,,Podiceps cristatus,6233
sp,100,Podiceps grisegena,02.06.08,,Podiceps grisegena,6230
sp,110,Podiceps auritus,02.06.08,,Podiceps auritus,6237
sp,120,Podiceps nigricollis,02.06.08,,Podiceps nigricollis,6240
a,129,Podicipedidae sp.,14.11.23,Extent of code has changed over time. All former Podiceps species were included.,Podiceps sp.,NA
sp,130,Aechmophorus occidentalis,14.11.23,Excludes Aechmophorus clarkii,Aechmophorus occidentalis,6253
sp,140,Thalassarche melanophris,02.06.08,,Diomedea melanophris,7393
a,150,Thalassarche chlororhynchos/carteri,02.06.08,,Diomedea chlororhynchos,NA
sp,151,Thalassarche chlororhynchos,14.11.23,Excludes Thalassarche carteri,Thalassarche chlororhynchos,7377
sp,152,Thalassarche carteri,17.01.19,Formerly Diomedea chlororhynchos bassi,Thalassarche carteri,7379
sp,160,Thalassarche cauta,02.06.08,,Diomedea cauta,7385
sp,170,Phoebastria nigripes,02.06.08,,Diomedea nigripes,7373
sp,180,Phoebastria immutabilis,02.06.08,,Diomedea immutabilis,7372
sp,190,Phoebastria albatrus,02.06.08,,Diomedea albatrus,7374
a,200,Diomedea exulans sensu lato,14.11.23,Includes Diomedea dabbenena,Diomedea exulans,NA
sp,201,Diomedea exulans,14.11.23,Excludes Diomedea dabbenena,,NA
a,210,Macronectes sp.,17.01.19,,Macronectes giganteus,NA
sp,211,Macronectes giganteus,17.01.19,,Macronectes giganteus s.s.,7427
sp,212,Macronectes halli,17.01.19,Formerly M. giganteus halli ,Macronectes halli,7428
sp,220,Fulmarus glacialis,02.06.08,,Fulmarus glacialis,7429
ssp,221,Fulmarus glacialis glacialis,02.06.08,,Fulmarus glacialis glacialis,7430
sp,230,Daption capense,02.06.08,,Daption capense,7436
sp,240,Pterodroma arminjoniana,02.06.08,,Pterodroma arminjoniana,7494
sp,250,Pterodroma neglecta,02.06.08,,Pterodroma neglecta,7489
